Fol_.22_.txt     Output is probe cell, reduced cell, NCDist distance between
161    -36.35728 -429.45062 709.97775 -6429.78435 -1422.03706 -361.51538       (-673.620,-393.093) (-5046.186,-36.357) (-38.439,-397.873)      858.726
162    -36.33538 -434.14580 709.10442 -6422.99830 -1420.44541 -361.18498       (-672.769,-397.810) (-5041.125,-36.335) (-38.572,-397.520)      856.924
163    -36.31348 -438.84097 708.23108 -6416.21224 -1418.85377 -360.85457       (-671.918,-402.527) (-5036.064,-36.313) (-38.705,-397.168)      855.175
164    -36.29158 -443.53615 707.35775 -6409.42619 -1417.26212 -360.52417       (-671.066,-407.245) (-5031.002,-36.292) (-38.838,-396.816)      853.48
165    -36.26968 -448.23133 706.48441 -6402.64013 -1415.67047 -360.19377       (-670.215,-411.962) (-5025.941,-36.270) (-38.971,-396.463)      851.839
166    -36.24778 -452.92650 705.61108 -6395.85407 -1414.07883 -359.86337       (-669.363,-416.679) (-5020.880,-36.248) (-39.104,-396.111)      849.651
167    -36.22588 -457.62168 704.73774 -6389.06802 -1412.48718 -359.53296       (-668.512,-421.396) (-5015.818,-36.226) (-39.238,-395.759)      847.48
168    -36.20398 -462.31686 703.86441 -6382.28196 -1410.89553 -359.20256       (-667.660,-426.113) (-5010.757,-36.204) (-39.371,-395.407)      845.362
169    -36.18209 -467.01203 702.99107 -6375.49591 -1409.30389 -358.87216       (-666.809,-430.830) (-5005.696,-36.182) (-39.504,-395.054)      843.296
170    -36.16019 -471.70721 702.11773 -6368.70985 -1407.71224 -358.54176       (-665.958,-435.547) (-5000.635,-36.160) (-39.637,-394.702)      841.282
171    -36.13829 -476.40239 701.24440 -6361.92379 -1406.12060 -358.21135       (-665.106,-440.264) (-4995.573,-36.138) (-39.770,-394.350)      839.322
172    -36.11639 -481.09756 700.37106 -6355.13774 -1404.52895 -357.88095       (-664.255,-444.981) (-4990.512,-36.116) (-39.903,-393.997)      837.416
173    -36.09449 -485.79274 699.49773 -6348.35168 -1402.93730 -357.55055       (-663.403,-449.698) (-4985.451,-36.094) (-40.036,-393.645)      835.564
174    -36.07259 -490.48791 698.62439 -6341.56563 -1401.34566 -357.22014       (-662.552,-454.415) (-4980.389,-36.073) (-40.169,-393.293)      833.766
175    -36.05069 -495.18309 697.75106 -6334.77957 -1399.75401 -356.88974       (-661.700,-459.132) (-4975.328,-36.051) (-40.303,-392.940)      832.022
